id, answer, ground_truth
1, C, C
2, A, A
3, D, D
4, B, B
5, A, A
6, C, C
7, C, C
8, B, B
9, D, D
10, D, D
11, A, A
12, B, B
13, D, D
14, C, C
15, D, D
16, D, D
17, A, B
18, C, C
19, B, B
20, A, A
21, B, B
22, C, C
23, D, D
24, D, B
25, B, C
26, B, A
27, A, A
28, B, B
29, A, A
30, C, C
31, D, A
32, B, B
33, D, D
34, C, C
35, C, C
36, B, C
37, B, B
38, C, C
39, A, A
40, D, D
41, C, C
42, D, D
43, B, B
44, A, A
45, D, D
46, C, C
47, C, C
48, D, D
49, A, D
50, B, B
51, D, D
52, B, B
53, C, C
54, C, C
55, D, D
