id, answer, ground_truth
1, C, C
2, E, E
3, B, B
4, D, D
5, B, B
6, D, D
7, A, A
8, D, D
9, B, B
10, E, E
11, E, E
12, D, D
13, C, C
14, D, D
15, D, D
16, D, D
17, E, E
18, B, B
19, A, A
20, A, A
21, D, D
22, B, B
23, A, A
24, C, C
25, D, D
26, C, C
27, C, C
28, C, C
29, A, A
30, E, E
31, E, E
32, A, A
33, C, C
34, D, D
35, B, B
36, A, A
37, B, B
38, E, E
39, C, C
40, B, B
41, D, D
42, B, B
43, C, C
44, D, D
45, B, B
46, E, E
47, E, E
48, D, D
49, E, E
50, C, E
51, E, E
52, D, D
53, C, C
54, D, D
55, E, E
56, A, A
57, C, C
58, C, D
59, A, A
60, E, E
61, A, A
62, B, B
63, E, C
64, A, A
65, B, E
66, C, C
67, D, D
68, C, C
69, C, C
70, C, C
71, D, D
72, B, B
73, D, D
74, B, B
75, C, C
76, D, D
77, B, B
78, E, E
79, D, D
80, E, E
81, A, A
82, E, E
83, C, C
84, D, D
85, B, B
86, E, E
87, C, C
88, C, A
89, A, A
90, D, D
91, B, B
92, D, D
93, A, A
94, C, C
95, A, A
96, D, D
97, B, B
